course_id,semester,name,roomcode,buildingname,start,end
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.4.09,TC,2019-10-25T12:00:00,2019-10-25T18:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.4.22,TC,2019-10-25T12:00:00,2019-10-25T18:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.16,TC,2019-11-15T12:30:00,2019-11-15T17:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.09,TC,2019-11-15T12:30:00,2019-11-15T17:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.22,TC,2019-11-15T12:30:00,2019-11-15T17:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.05,TC,2019-11-15T12:30:00,2019-11-15T17:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,D5.0.1001 Freifläche Gang,D5,2019-11-15T14:30:00,2019-11-15T16:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.11,TC,2019-12-06T13:30:00,2019-12-06T18:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.07,TC,2019-12-06T13:30:00,2019-12-06T18:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.16,TC,2019-12-06T13:30:00,2019-12-06T18:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.22,TC,2019-12-06T13:30:00,2019-12-06T18:30:00
